"SSP","NPV_WTP","NPV_WTP_Pop","NPV_WTP_pluristic_nonpop","NPV_WTP_pluristic"
"SSP1",-1.5183334423878,-2.00716559146595,-2.2781368731133,-3.02854696310236
"SSP2",-1.60852411802765,-2.07442531571242,-2.50856201772078,-3.26494606707694
"SSP3",-2.33446237090149,-2.21342160572688,-3.43898277749838,-3.2111471992905
