"","id","year_2030_SSP1","year_2030_SSP2","year_2030_SSP3","year_2030_SSP1_TotalWTP","year_2030_SSP2_TotalWTP","year_2030_SSP3_TotalWTP","year_2050_SSP1","year_2050_SSP2","year_2050_SSP3","year_2050_SSP1_TotalWTP","year_2050_SSP2_TotalWTP","year_2050_SSP3_TotalWTP","year_2100_SSP1","year_2100_SSP2","year_2100_SSP3","year_2100_SSP1_TotalWTP","year_2100_SSP2_TotalWTP","year_2100_SSP3_TotalWTP"
"1",1,-0.098207538452611,-0.135976341803605,-0.0467929784438962,-265.297308509338,-367.32574779735,-126.406296643831,-0.242441930170477,-0.241581882680176,-0.169754848847938,-654.931307285265,-652.607979687791,-458.57482241548,-0.29293258266751,-0.293344485661811,-0.297250743232688,-791.32648043999,-792.439192941258,-802.991535828845
"2",10,0.00298140151198312,0.00067560013781281,-0.000778686280206318,4.36730154886085,0.989651852131076,-1.14065743374487,-0.00290322618079987,0.00686418907355128,0.00433383129177094,-4.252786531817,10.0549971052554,6.3484062904574,-0.000228980530741391,-0.00101424669207003,-0.0247949143292966,-0.335421788224919,-1.48571775099762,-36.3207931970828
"3",100,-0.194799502437352,-0.270986268600884,-0.092547726017478,-5899.561904103,-8206.90118182897,-2802.83589995137,-0.485438842583258,-0.483839619271481,-0.338087907073544,-14701.6623073618,-14653.2293452224,-10239.0946170433,-0.587613688070436,-0.588415561419989,-0.596059186094868,-17796.0584349269,-17820.3434120739,-18051.8328993516
"4",1000,-0.0187036270504331,-0.0162287227457303,-0.00847099354902875,-54.5345928194356,-47.3184577799537,-24.6990694760272,-0.0474311674816284,-0.0449945285500717,-0.0353733203645988,-138.296138956704,-131.191575140171,-103.138798563147,-0.0721225743126552,-0.072837481779704,-0.0790786515953452,-210.289438119387,-212.373910158631,-230.571431617714
"5",10000,0.000106292504764941,2.66671630374546e-05,-4.70563782799653e-05,0,0,0,-0.000516790394475019,0.000324392293301955,0.000168604051953295,0,0,0,-0.000327854334608721,-0.000417089255289498,-0.00248903750238075,0,0,0
"6",10001,2.97524702462611e-05,7.48959693598803e-06,-1.31514886726312e-05,0,0,0,-0.00014449385653443,9.078968598185e-05,4.71975968998559e-05,0,0,0,-9.16369766917749e-05,-0.000116596069737958,-0.000696086967489577,0,0,0
"7",10002,-0.00739953691343483,-0.00951745616801161,-0.00303174227584419,0,0,0,-0.0178518964726013,-0.0178574386431452,-0.0124921867966805,0,0,0,-0.0212910264757436,-0.0214229591446697,-0.0216818604228812,0,0,0
"8",10003,0.00108307943280825,0.000250015035377421,-0.000304748363028506,0.0800784930286592,0.0184850959782516,-0.0225318558593606,-0.00153909456405631,0.00258833663236819,0.00159146253620106,-0.113794399177785,0.191371094946842,0.117666274282499,-0.000457481056485217,-0.000814848436303126,-0.0108880189650598,-0.0338242907055377,-0.0602465828907177,-0.805015887457824
"9",10004,-0.00137274058039491,-0.000296841186187032,8.95690608173575e-05,0,0,0,-0.00421000282546634,-0.0021064921136712,-0.00181321972705583,0,0,0,-0.00419146372655013,-0.00464770780491819,-0.0101123394699664,0,0,0
"10",10005,-0.00486792142654499,-0.00107676311722124,0.000587050463420145,-0.106733631425104,-0.0236090165833279,0.0128716185616607,-0.00924836286377245,-0.00855878928633771,-0.00662169914225154,-0.202778818040231,-0.187659286395151,-0.14518681254858,-0.0104705294347936,-0.0112486166809079,-0.013798186021073,-0.229575938392283,-0.246636213213168,-0.302537853852235
